2021-09-17 11:23:52,480 [http-nio-9565-exec-3] DEBUG o.h.SQL                                            - select customer0_.idcustomer as col_0_0_ from customer customer0_ where customer0_.numberdocument=? limit ? 
2021-09-17 11:23:52,522 [http-nio-9565-exec-3] DEBUG o.h.SQL                                            - insert into customer (dateborn, fullname, numberdocument, typedocument) values (?, ?, ?, ?) 
2021-09-17 11:24:08,969 [http-nio-9565-exec-4] DEBUG o.h.SQL                                            - select customer0_.idcustomer as idcustom1_0_, customer0_.dateborn as dateborn2_0_, customer0_.fullname as fullname3_0_, customer0_.numberdocument as numberdo4_0_, customer0_.typedocument as typedocu5_0_ from customer customer0_ 
2021-09-17 11:24:08,980 [http-nio-9565-exec-4] DEBUG o.h.SQL                                            - select linemobile0_.idcustomer as idcustom1_1_0_, linemobile0_.idlinemobile as idlinemo2_1_0_, linemobile1_.idlinemobile as idlinemo1_3_1_, linemobile1_.datecreated as datecrea2_3_1_, linemobile1_.nameplane as nameplan3_3_1_, linemobile1_.numberphone as numberph4_3_1_, linemobile1_.state as state5_3_1_, linemobile1_.typeplane as typeplan6_3_1_ from customer_line linemobile0_ inner join line_mobile linemobile1_ on linemobile0_.idlinemobile=linemobile1_.idlinemobile where linemobile0_.idcustomer=? 
2021-09-17 13:10:19,851 [HikariPool-1 housekeeper] WARN  c.z.h.p.HikariPool                                 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=58m42s984ms777µs600ns). 
2021-09-17 14:12:52,417 [HikariPool-1 housekeeper] WARN  c.z.h.p.HikariPool                                 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m2s389ms571µs300ns). 
2021-09-17 16:34:22,557 [Thread-4] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default' 
2021-09-17 16:34:22,572 [Thread-4] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated... 
2021-09-17 16:34:22,580 [Thread-4] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed. 
2021-09-17 16:34:22,771 [restartedMain] INFO  c.t.o.OfferEngineApplication                       - Starting OfferEngineApplication using Java 11.0.12 on TRJ-FLMS8C3 with PID 16024 (C:\Users\kpalmall\Documents\workspace-spring-tool-suite-4-4.11.0.RELEASE\telefonica-offer-engine\target\classes started by kpalmall in C:\Users\kpalmall\Documents\workspace-spring-tool-suite-4-4.11.0.RELEASE\telefonica-offer-engine) 
2021-09-17 16:34:22,772 [restartedMain] INFO  c.t.o.OfferEngineApplication                       - No active profile set, falling back to default profiles: default 
2021-09-17 16:34:23,103 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2021-09-17 16:34:23,121 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 17 ms. Found 3 JPA repository interfaces. 
2021-09-17 16:34:23,254 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 9565 (http) 
2021-09-17 16:34:23,255 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-9565"] 
2021-09-17 16:34:23,256 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2021-09-17 16:34:23,256 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.52] 
2021-09-17 16:34:23,278 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2021-09-17 16:34:23,278 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 502 ms 
2021-09-17 16:34:23,331 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2021-09-17 16:34:23,338 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Starting... 
2021-09-17 16:34:23,343 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Start completed. 
2021-09-17 16:34:23,343 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect 
2021-09-17 16:34:23,488 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021-09-17 16:34:23,488 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021-09-17 16:34:23,726 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2021-09-17 16:34:23,817 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2021-09-17 16:34:23,820 [restartedMain] INFO  c.t.o.L.LoggingAdvice                              - Invoked method -> class com.telefonica.offerengine.OfferEngineApplication$$EnhancerBySpringCGLIB$$50325299 : APIRESTOFFERENGINE() Arguments : [] 
2021-09-17 16:34:23,827 [restartedMain] INFO  c.t.o.L.LoggingAdvice                              - class com.telefonica.offerengine.OfferEngineApplication$$EnhancerBySpringCGLIB$$50325299 : APIRESTOFFERENGINE() Response : {"documentationType":{"name":"swagger","version":"2.0","mediaType":{"type":"application","subtype":"json","parameters":{},"qualityValue":1.0,"charset":null,"concrete":true,"wildcardType":false,"wildcardSubtype":false,"subtypeSuffix":null}},"groupName":"default","enabled":true} 
2021-09-17 16:34:23,894 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729 
2021-09-17 16:34:23,989 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-9565"] 
2021-09-17 16:34:23,992 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 9565 (http) with context path '' 
2021-09-17 16:34:23,993 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper         - Context refreshed 
2021-09-17 16:34:23,994 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper         - Found 1 custom documentation plugin(s) 
2021-09-17 16:34:23,998 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner               - Scanning for api listing references 
2021-09-17 16:34:24,032 [restartedMain] INFO  s.d.s.w.r.o.CachingOperationNameGenerator          - Generating unique operation named: postMethodNameUsingPOST_1 
